          Date    model newsNum forumNum estoreNum bdindexNum bdsearchNum sales
1   2016-11-01 iphone6s      31       15       151      84192          NA 57422
2   2016-11-02 iphone6s      60       13       208      85955          NA 57022
3   2016-11-03 iphone6s      68       12       141      84172          NA 56725
4   2016-11-04 iphone6s      23       20       146      86276   316310000 56896
5   2016-11-05 iphone6s      22        8       153      85783   316200000 56234
6   2016-11-06 iphone6s      17       13       157      87605   316000000 55964
7   2016-11-07 iphone6s      69        6       139      88485   315590000 55666
8   2016-11-08 iphone6s      74       20       211      84731   315580000 55639
9   2016-11-09 iphone6s     195       12       170      80713   315710000 53271
10  2016-11-10 iphone6s      78       12       166      81138   316280000 55490
11  2016-11-11 iphone6s      89       19       365      82790   321350000 54294
12  2016-11-12 iphone6s      22       22       134      78169   317500000 56154
13  2016-11-13 iphone6s      89        9       142      80221   318970000 55690
14  2016-11-14 iphone6s     103       25       139      81181   319250000 18817
15  2016-11-15 iphone6s     135       18       175      79146   319490000 18517
16  2016-11-16 iphone6s     108       10       156      80347   319470000 18232
17  2016-11-17 iphone6s     103        9       170      77804   320230000 17897
18  2016-11-18 iphone6s      79       16       157      73088   324150000 17513
19  2016-11-19 iphone6s      98       15       125      75189   324090000 17169
20  2016-11-20 iphone6s      20       11       166      73663   324530000     0
21  2016-11-21 iphone6s     174       32       146      83171   324760000 16176
22  2016-11-22 iphone6s     192        5       151      82377   325920000 15631
23  2016-11-23 iphone6s     148        8       112      79321   326620000 15274
24  2016-11-24 iphone6s      86       17        99      78958   330990000 14902
25  2016-11-25 iphone6s     120        7       134      72552   333270000 14504
26  2016-11-26 iphone6s      34       17        89      73650   333010000 14157
27  2016-11-27 iphone6s      14       12        64      71944   334570000     0
28  2016-11-28 iphone6s      71       28        94      70098   334480000 12727
29  2016-11-29 iphone6s      93       26        93      69274   335810000 13056
30  2016-11-30 iphone6s      80       26        75      66936   336510000 12908
31  2016-12-01 iphone6s      72       41       114      68936   337110000 12568
32  2016-12-02 iphone6s     125       19       183      70909   398980000  9060
33  2016-12-03 iphone6s     123       13       151      79599   391610000  8972
